,alternativeSpellings,createdAt,department,id,name,updatedAt
153,[],2016-04-13T10:43:35.454Z,107,7381,"Jäätelö, suklaa",2016-12-16T09:17:30.044Z
154,[],2016-06-06T13:53:32.933Z,105,7423,"Misokeitto, ainekset",2016-12-16T10:08:42.324Z
155,[],2016-03-24T08:43:05.048Z,104,6769,"Pähkinäjogurtti, AB, rukiinen",2016-12-16T10:13:51.726Z
156,[],2016-03-24T08:44:37.857Z,104,7047,"Sulatejuustoviipale, maustamaton",2016-12-16T10:31:14.817Z
157,,2016-03-24T08:35:51.165Z,102,5477,"Grillimakkara, maustekurkku",2016-03-24T08:35:51.165Z
158,,2016-03-24T08:36:00.230Z,106,5504,"Hedelmä, kuivattu",2016-03-24T08:36:00.230Z
159,,2016-03-24T08:36:00.869Z,100,5506,"Hedelmä, tuore",2016-03-24T08:36:00.869Z
160,,2016-03-24T08:36:02.679Z,105,5511,"Hedelmäsekoitus, kuivattu, Supermix",2016-03-24T08:36:02.679Z
161,,2016-03-24T08:36:02.998Z,105,5512,"Hedelmäsekoitus, tuore",2016-03-24T08:36:02.998Z
162,,2016-03-24T08:36:04.039Z,105,5515,"Herkkusieni, säilyke",2016-03-24T08:36:04.039Z
163,,2016-03-24T08:36:06.338Z,100,5522,Herne,2016-03-24T08:36:06.338Z
164,,2016-03-24T08:36:11.321Z,106,5536,Hillo,2016-03-24T08:36:11.321Z
165,,2016-03-24T08:36:12.956Z,102,5541,Hirvipaisti,2016-03-24T08:36:12.956Z
166,[],2016-03-24T08:35:52.907Z,102,5482,"Grillimakkara, savustettu",2016-08-08T07:10:00.636Z
167,,2016-03-24T08:36:24.517Z,102,5576,Jauheliha,2016-03-24T08:36:24.517Z
168,,2016-03-24T08:36:24.834Z,102,5577,"Jauheliha, luomu",2016-03-24T08:36:24.834Z
169,,2016-03-24T08:35:50.209Z,102,5474,"Grillimakkara, habanero",2016-12-16T09:14:15.048Z
170,[],2016-03-24T08:35:50.846Z,102,5476,"Grillimakkara, kolbasz",2016-12-16T09:14:19.674Z
171,,2016-03-24T08:35:51.486Z,102,5478,"Grillimakkara, pekoni-parmesaani",2016-12-16T09:14:25.285Z
172,,2016-03-24T08:35:51.818Z,102,5479,"Grillimakkara, perinteinen",2016-12-16T09:14:26.169Z
173,,2016-03-24T08:35:52.212Z,102,5480,"Grillimakkara, salsiccia",2016-12-16T09:14:28.754Z
174,,2016-03-24T08:35:53.235Z,102,5483,"Grillimakkara, valkosipuli",2016-12-16T09:14:31.382Z
175,,2016-03-24T08:35:53.554Z,102,5484,Grillinakki,2016-12-16T09:14:33.406Z
176,,2016-03-24T08:35:53.871Z,102,5485,"Grillipihvi, makkara",2016-12-16T09:14:34.507Z
177,,2016-03-24T08:35:54.252Z,102,5486,Grillisalami,2016-12-16T09:14:38.527Z
178,,2016-03-24T08:35:54.888Z,102,5488,Grönlanninpallas,2016-12-16T09:14:39.975Z
179,,2016-03-24T08:35:54.571Z,104,5487,Gruyere,2016-12-16T09:14:40.335Z
180,,2016-03-24T08:35:57.298Z,106,5495,Hampurilaiskastike,2016-12-16T09:14:58.380Z
181,,2016-03-24T08:35:57.645Z,101,5496,Hampurilaissämpylä,2016-12-16T09:14:59.169Z
182,,2016-03-24T08:35:57.962Z,103,5497,Hapankaali,2016-12-16T09:15:02.446Z
183,,2016-03-24T08:35:58.282Z,103,5498,"Hapankaali, luomu",2016-12-16T09:15:02.856Z
184,,2016-03-24T08:35:58.603Z,101,5499,Hapankorppu,2016-12-16T09:15:04.086Z
185,,2016-03-24T08:35:58.922Z,101,5500,"Hapankorppu, tumma",2016-12-16T09:15:05.290Z
186,,2016-03-24T08:36:19.972Z,102,5562,"Härkä, leikkele",2016-12-16T09:15:09.542Z
187,,2016-03-24T08:35:59.270Z,106,5501,Hasselpähkinä,2016-12-16T09:15:16.096Z
188,,2016-03-24T08:35:59.590Z,106,5502,Hasselpähkinälevite,2016-12-16T09:15:17.925Z
189,[],2016-03-24T08:35:59.909Z,102,5503,"Haukifilee, tuore",2016-12-16T09:15:19.007Z
190,,2016-03-24T08:36:00.551Z,105,5505,"Hedelmä, säilyke",2016-12-16T09:15:20.820Z
191,,2016-03-24T08:36:01.530Z,104,5508,Hedelmäjogurtti,2016-12-16T09:15:21.234Z
192,,2016-03-24T08:36:01.851Z,104,5509,Hedelmäkeitto,2016-12-16T09:15:24.196Z
193,,2016-03-24T08:36:03.710Z,111,5514,Hehkulamppu,2016-12-16T09:15:26.769Z
194,,2016-03-24T08:36:04.392Z,100,5516,"Herkkusieni, tuore",2016-12-16T09:15:30.025Z
195,,2016-03-24T08:36:04.709Z,105,5517,"Herkkusieni, viipaloitu, säilyke",2016-12-16T09:15:30.745Z
196,,2016-03-24T08:36:05.028Z,100,5518,"Herkkusieni, viipaloitu, tuore",2016-12-16T09:15:31.116Z
197,,2016-03-24T08:36:05.348Z,103,5519,Herkkusienisalaatti,2016-12-16T09:15:34.055Z
198,,2016-03-24T08:36:05.666Z,102,5520,"Herkkusilli, matjeskastike",2016-12-16T09:15:34.425Z
199,,2016-03-24T08:36:06.008Z,105,5521,"Herkkutatti, kuivattu",2016-12-16T09:15:34.787Z
